COURSE_SUBJECT,COURSE_NUMBER,COURSE_TITLE,RESOURCE_NAME,ISBN
ANTHRO,860,Hist-Anthropological Theory,The Elementary Forms of Religious Life,0029079373
ANTHRO,860,Hist-Anthropological Theory,Structure and Function in Primitive Society: Essays and Addresses by A. R. Radcliffe-Brown,0029256208
NURSING,815,Knowledge Developmt in Nursing,Theoretical Nursing: Development and Progress,0060000422
ENGL,248,Women in Ethnic Amer Lit,The Bell Jar,0060837020
FOLKLORE,342,In Trans:Mythlgy-Scandnavia,"Inanna, Queen of Heaven and Earth: Her Stories and Hymns from Sumer",0060908548
HISTORY,223,Exploration-European Hist (H),"Nazi Germany and the Jews Vol. 1, The Years of Persecution: 1933-1939",0060928786
HISTORY,223,Exploration-European Hist (H),"Nazi Germany and the Jews Vol. 2, 1939-1945: The Years of Extermination",0060930489
ENGL,248,Women in Ethnic Amer Lit,How We Survived Communism and Even Laughed,0060975407
JOURN,564,Media and the Consumer,The overspent American,0060977582
HISTORY,120,Europe&Mod World 1815-On,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,0060995068
CLASSICS,373,Topics in Classical Culture,The HarperCollins Study Bible: Fully Revised & Updated,0061228400
ENGL,155,Myth and Literature,The Song of Achilles:  a Novel,0062060627
ART,448,Special Topics,Parkland: Birth of a Movement,0062887971
JOURN,345,Principles & Pract Strat Comm,Positioning: The Battle For Your Mind,0071373586
COMP SCI,252,Intro to Computer Engineering,Introduction to Computing Systems: from bits and gates to C and beyond,0072467509
PHYSICS,307,Intmed Lab-Mech&Mod Physics,Data Reduction and Error Analysis for the Physical Sciences,0072472278
ELPA,827,Surveys/Quant Data Collection,The Survey Research Handbook,0072945486
MATH,467,Introduction to Number Theory,Elementary number theory,0073383147
I SY E,320,Simulatn&Probablstc Modelng,Simulation with Arena (6th Edition),0073401315
COM ARTS,313,Topics: Film and Media Studies,Film History: An Introduction,0073514241
ATM OCN,310,Dynamics-Atmosphere&Ocean I,An Introduction to Dynamic Meteorology,0123848660
I SY E,624,Stochastic Modeling Tech,Introduction to Probability Models,0128143460
MATH,341,Linear Algebra,Linear Algebra,0130084514
SPANISH,322,Survey of Early Hispanic Lit,"Antologia  de autores espa?oles antiguos y modernos, I. Antiguos",0130338389
E C E,436,Communication Systems I,Communication Systems Engineering,0130617938
COMP SCI,354,Machine Organizatn&Progrmng,C Programming Language,0131103628
E C E,542,Intro to Microelectromech Sys,Foundations of MEMS,0131472860
DANCE,165,World Dance Cultures,Dancing Through History,0132043890
DANCE,165,World Dance Cultures,History of the Dance in Art and Education,0133893626
LSC,332,Print&Electronic Media Dsgn,The Non-Designer's Design Book,0133966151
BIOLOGY,101,Animal Biology,Campbell Biology,0134093410
CS&D,240,Lang Devlp-Chld & Adolescnt,The Development of Language,0134161149
ED PSYCH,631,Supervision of Schl Personnel,Supervision and Instructional Leadership: A Developmental Approach,0134449894
M H R,401,The Management of Teams,Making the Team: A Guide for Managers,0134484207
ECON,302,Intmed Macroeconomic Theory,"Macroeconomics 6th Edition, loose leaf version",0134543092
CS&D,320,Introduction to Audiology,Introduction to Audiology,0134695046
CURRIC,318,Teaching Reading and Writing,Literacy for the 21st Century,0134813103
ED PSYCH,762,Intro: Dsgn-Ed Experiments,Design and Analysis: A Researcher's Handbook,0135159415
CURRIC,318,Teaching Reading and Writing,"Words Their Way Word Study for Phonics, Vocabulary, and Spelling Instruction",0135174627
